Date,Date de valeur,Description,Débit,Crédit,Solde
07/02/2023,07/02/2023,Virement recus Banque Confrere GEEKWORKERS SARL FT23038HM1YW\BNK   Prestation Fev 23 - GW,,7517796.0,7505796.0
08/02/2023,08/02/2023,DB vente carte etrangere  813020 FT23039346LK\BNK  SPOTIFY AB,13191.95,,7492604.05
08/02/2023,08/02/2023,DB vente carte etrangere  858470 FT23039P6DTK\BNK  PAYPAL,4412.03,,7488192.02
08/02/2023,08/02/2023,DB vente carte etrangere  REV FT23039BN33Z\BNK   858550 PAYPAL,4412.03,,7492604.05
08/02/2023,08/02/2023,DB vente carte etrangere  858950 FT23039M8WBJ\BNK  PAYPAL ZAKHAMOUCHI ZAK,108637.2,,7383966.85
08/02/2023,08/02/2023,Retrait sur GAB MCB  357470 FT23039J1CDW\BNK  MCB MADA ZOOM,500000.0,,6883966.85
08/02/2023,08/02/2023,Retrait sur GAB MCB  358210 FT230398J3DD\BNK  MCB MADA ZOOM,500000.0,,6383966.85
08/02/2023,08/02/2023,Retrait sur GAB confrere  471610 FT23039N4YPL\BNK  BNI BNI AMPASAMPITO,500000.0,,5883966.85
09/02/2023,09/02/2023,Retrait sur GAB confrere  422830 FT23040YRJDL\BNK  SGMADA Mahazo,200000.0,,5683966.85
10/02/2023,10/02/2023,DB vente carte etrangere  388770 FT23041K30CY\BNK  PAYPAL,4427.58,,5679539.27
10/02/2023,10/02/2023,DB vente carte etrangere  REV FT2304141VFQ\BNK   388830 PAYPAL,4427.58,,5683966.85
10/02/2023,10/02/2023,DB vente carte etrangere  388900 FT23041YPTZK\BNK  PAYPAL PREM KUMAR,44688.4,,5639278.45
10/02/2023,10/02/2023,DB vente carte etrangere  396660 FT23041GK8H0\BNK  PAYPAL,4427.58,,5634850.87
10/02/2023,10/02/2023,DB vente carte etrangere  REV FT2304160S9P\BNK   396750 PAYPAL,4427.58,,5639278.45
10/02/2023,10/02/2023,DB vente carte etrangere  396960 FT23041K5Z38\BNK  PAYPAL PREM KUMAR,55781.4,,5583497.05
10/02/2023,10/02/2023,Retrait sur GAB confrere  526640 FT23041K625D\BNK  BNI BNI AMBATOBE,100000.0,,5483497.05
13/02/2023,10/02/2023,Frais de virement FT230441TSN2\BNK,2000.0,,5481497.05
13/02/2023,10/02/2023,TVA FT230441TSN2\BNK,400.0,,5481097.05
13/02/2023,10/02/2023,Prelevement automatic -DR DD INTERMEDIATARY FT230441TSN2\BNK   TELMA MOBILE FINV/00036068/23 316219,,299000.0,5182097.05
13/02/2023,13/02/2023,DB vente carte etrangere  856990 FT23044JJSM4\BNK  SmartGlocal,47791.24,,5134305.81
13/02/2023,13/02/2023,DB vente carte confrere  372320 FT23044RLPKS\BNK  SOCIETE LIANTSOA,103200.0,,5031105.81
13/02/2023,13/02/2023,Retrait sur GAB confrere  289960 FT23044XC7SJ\BNK  SGMADA Mahazo,200000.0,,4831105.81
13/02/2023,13/02/2023,Retrait sur GAB confrere  705400 FT23044D51PJ\BNK  SGMADA Mahazo,200000.0,,4631105.81
14/02/2023,14/02/2023,Retrait sur GAB confrere  477680 FT23045NP3N2\BNK  BNI BNI AMPASAMPITO,100000.0,,4531105.81
16/02/2023,16/02/2023,Retrait sur GAB confrere  631700 FT23047L7T8G\BNK  SGMADA Mahazo 2,150000.0,,4381105.81
17/02/2023,17/02/2023,DB vente carte confrere  572530 FT23048ZSYR9\BNK  CINEPAX MADAGASCAR,50000.0,,4331105.81
