Date,Date de valeur,Description,Débit,Crédit,Solde
01/08/2024,31/07/2024,Transfert compte a compte MCB MADAGASCAR FT24213C1RKV\B99   EXT SGM MAHAZO 210624,,400000.0,429716.04
02/08/2024,02/08/2024,Retrait sur GAB confrere  542380 FT24215T0KZP\BNK  BNI LA CITY ALAROBIA,20000.0,,409716.04
09/08/2024,08/08/2024,Frais de virement FT242226HDGJ\BNK,5000.0,,404716.04
09/08/2024,08/08/2024,TVA FT242226HDGJ\BNK,1000.0,,403716.04
09/08/2024,08/08/2024,Prelevement automatic -DR DD INTERMEDIATARY FT242226HDGJ\BNK   TELMA S.A F2408864098,,249000.0,154716.04
09/08/2024,09/08/2024,Virement recus Banque Confrere  RIAKE FT24222NM13Y\BNK   Suite Paiement Mrway,,600000.0,754716.04
12/08/2024,12/08/2024,DB vente carte confrere  467450 FT24225G3BF5\BNK  S2M,69850.0,,684866.04
12/08/2024,12/08/2024,DB vente carte confrere  468920 FT242254WMZ8\BNK  S2M,14830.0,,670036.04
12/08/2024,12/08/2024,DB vente carte confrere  470030 FT24225B9XNB\BNK  S2M,6900.0,,663136.04
12/08/2024,12/08/2024,DB vente carte etrangere  345440 FT2422574WR9\BNK  NAME-CHEAP.COM VZ4RNI,160667.05,,502468.99
19/08/2024,19/08/2024,Retrait sur GAB confrere  627810 FT24232Y8RN4\BNK  BNI BNIANALAMAHITSY,50000.0,,452468.99
19/08/2024,19/08/2024,DB vente carte confrere  466180 FT24232ZB912\BNK  SOCIETE LIANTSOA,66910.0,,385558.99
19/08/2024,19/08/2024,Retrait sur GAB confrere  467310 FT242327GN9F\BNK  SGMADA Mahazo 2,50000.0,,335558.99
19/08/2024,19/08/2024,DB vente carte etrangere  248780 FT24232RVLMG\BNK  CONTABO-COM,65901.23,,269657.76
26/08/2024,26/08/2024,Retrait sur GAB confrere  590310 FT24239BL5Q3\BNK  SGMADA Agence MAHAZO-An,50000.0,,219657.76
26/08/2024,26/08/2024,Retrait sur GAB confrere  711410 FT24239CHXKS\BNK  SGMADA Agence MAHAZO,20000.0,,199657.76
27/08/2024,27/08/2024,Retrait sur GAB confrere  639020 FT2424030VZL\BNK  SGMADA Agence MAHAZO-An,50000.0,,149657.76
30/08/2024,30/08/2024,Retrait sur GAB confrere  737950 FT24243425J4\BNK  SGMADA Mahazo 2,30000.0,,119657.76
30/08/2024,01/09/2024,TVA 1079646.FRAIS.TENUE.COMPTE.MGA10 000.20240831,2000.0,,117657.76
30/08/2024,01/09/2024,Frais Tenue de compte 1079646.FRAIS.TENUE.COMPTE.MGA10 000.20240831,10000.0,,107657.76
