Date,Date de valeur,Description,Débit,Crédit,Solde
09/08/2023,09/08/2023,Depot en especes  LUI MEME TT23221D3F7Z,,300000.0,294521.9
14/08/2023,11/08/2023,Frais de virement FT23226DBBXS\BNK,2000.0,,292521.9
14/08/2023,11/08/2023,TVA FT23226DBBXS\BNK,400.0,,292121.9
14/08/2023,11/08/2023,Prelevement automatic -DR DD INTERMEDIATARY FT23226DBBXS\BNK   TELMA S.A F2308981141,,249000.0,43121.9
31/08/2023,01/09/2023,TVA 1079646.FRAIS.TENUE.COMPTE.MGA10 000.20230831,2000.0,,41121.9
31/08/2023,01/09/2023,Frais Tenue de compte 1079646.FRAIS.TENUE.COMPTE.MGA10 000.20230831,10000.0,,31121.9
