Date,Date de valeur,Description,Débit,Crédit,Solde
01/03/2023,01/03/2023,Retrait sur GAB confrere  444480 FT230608HN8S\BNK  BNI BNI ANTSAKAVIRO,200000.0,,1841623.17
01/03/2023,01/03/2023,Retrait sur GAB confrere  445990 FT23060X01HV\BNK  BNI BNI ANTSAKAVIRO,200000.0,,1641623.17
01/03/2023,01/03/2023,Retrait sur GAB confrere  446550 FT230608JJZ2\BNK  BNI BNI ANTSAKAVIRO,200000.0,,1441623.17
02/03/2023,02/03/2023,Retrait sur GAB confrere  357880 FT230611JK4K\BNK  SGMADA Mahazo 2,50000.0,,1391623.17
02/03/2023,02/03/2023,Retrait sur GAB confrere  358600 FT230611J388\BNK  SGMADA Mahazo 2,50000.0,,1341623.17
03/03/2023,03/03/2023,Retrait sur GAB confrere  695050 FT230628Z0Z7\BNK  BNI BNI AMPASAMPITO,100000.0,,1241623.17
06/03/2023,06/03/2023,DB vente carte etrangere  068340 FT23065XZ0DH\BNK  SPOTIFY AB,13216.13,,1228407.04
06/03/2023,06/03/2023,Retrait sur GAB confrere  453870 FT230652ZF27\BNK  BNI ANKORONDRANO Route,100000.0,,1128407.04
06/03/2023,06/03/2023,Virement recus Banque Confrere GEEKWORKERS SARL FT23065NZPD2\BNK   Prestation Fev 2023 - GW,,3475710.0,4604117.04
07/03/2023,07/03/2023,Retrait sur GAB confrere  677690 FT23066YH85L\BNK  BNI ANKORONDRANO Route,100000.0,,4504117.04
08/03/2023,08/03/2023,Retrait sur GAB MCB  405960 FT23067JCH37\BNK  MCB MADA LE BONNET,150000.0,,4354117.04
08/03/2023,08/03/2023,DB vente carte confrere  567600 FT23067XHSDM\BNK  JUMBO TANJOMBAT,65890.0,,4288227.04
08/03/2023,08/03/2023,Retrait sur GAB confrere  713180 FT2306782HDL\BNK  BNI ANALAKELY 74,100000.0,,4188227.04
09/03/2023,09/03/2023,Retrait sur GAB confrere  704680 FT230685NMS0\BNK  SGMADA Mahazo,50000.0,,4138227.04
10/03/2023,09/03/2023,Frais de virement FT230696DCPZ\BNK,2000.0,,4136227.04
10/03/2023,09/03/2023,TVA FT230696DCPZ\BNK,400.0,,4135827.04
10/03/2023,09/03/2023,Prelevement automatic -DR DD INTERMEDIATARY FT230696DCPZ\BNK   TELMA MOBILE FINV/00084683/23 316219,,247000.0,3888827.04
13/03/2023,13/03/2023,DB vente carte etrangere  857050 FT230721DJVS\BNK  SmartGlocal,46860.41,,3841966.63
13/03/2023,13/03/2023,Retrait sur GAB confrere  032350 FT23072PF1WF\BNK  BNI BNI ANTSAKAVIRO,100000.0,,3741966.63
13/03/2023,13/03/2023,Retrait sur GAB confrere  483180 FT230725K02W\BNK  BNI BNI AMPASAMPITO,100000.0,,3641966.63
13/03/2023,13/03/2023,Retrait sur GAB confrere  586650 FT23072YVZK0\BNK  SGMADA 67 Ha,800000.0,,2841966.63
13/03/2023,13/03/2023,Retrait sur GAB confrere  587230 FT23072PYXX3\BNK  SGMADA 67 Ha,800000.0,,2041966.63
13/03/2023,13/03/2023,Retrait sur GAB confrere  587750 FT23072QK3CF\BNK  SGMADA 67 Ha,800000.0,,1241966.63
13/03/2023,13/03/2023,Retrait sur GAB confrere  588490 FT23072PT7CD\BNK  SGMADA 67 Ha,800000.0,,441966.63
13/03/2023,13/03/2023,Retrait sur GAB confrere  589320 FT23072F5Z5V\BNK  SGMADA 67 Ha,400000.0,,41966.63
14/03/2023,14/03/2023,Retrait sur GAB confrere  694790 FT23073PM0JP\BNK  BNI BNI AMPASAMPITO,30000.0,,11966.63
31/03/2023,01/04/2023,TVA 1079646.FRAIS.TENUE.COMPTE.MGA10 000.20230331,2000.0,,9966.63
