Date,Date de valeur,Description,Débit,Crédit,Solde
01/07/2024,01/07/2024,DB vente carte etrangere  684000 FT24183TBR4G\BNK  APPLE.COM/BILL,13745.16,,491648.29
03/07/2024,03/07/2024,Retrait sur GAB confrere  429430 FT2418503DTY\BNK  SGMADA Mahazo,200000.0,,291648.29
03/07/2024,03/07/2024,Retrait sur GAB confrere  430130 FT24185JW0W7\BNK  SGMADA Mahazo,50000.0,,241648.29
03/07/2024,03/07/2024,Retrait sur GAB confrere  541310 FT24185876BB\BNK  SGMADA Mahazo 2,100000.0,,141648.29
08/07/2024,08/07/2024,Virement recus Banque Confrere  RIAKE FT24190W13C8\BNK   Acompte Inscirkle,,600000.0,741648.29
10/07/2024,09/07/2024,Frais de virement FT2419241ZL7\BNK,5000.0,,736648.29
10/07/2024,09/07/2024,TVA FT2419241ZL7\BNK,1000.0,,735648.29
10/07/2024,09/07/2024,Prelevement automatic -DR DD INTERMEDIATARY FT2419241ZL7\BNK   TELMA S.A F2407774576,,249000.0,486648.29
12/07/2024,12/07/2024,Transfer Bank to Wallet  MVOLA WALLET FT24194WFCZP\BNK   Mvola Bank to,50000.0,,436648.29
12/07/2024,12/07/2024,Transfer Bank to Wallet  MVOLA WALLET FT24194CFH4T\BNK   Mvola Bank to Wallet,100000.0,,336648.29
16/07/2024,16/07/2024,Retrait sur GAB confrere  307490 FT24198VTBM9\BNK  SGMADA Agence MAHAZO,300000.0,,36648.29
19/07/2024,19/07/2024,Transfer Wallet to Bank Mvola Wallet to FT24201WGXW1\BNK,70000.0,,106648.29
22/07/2024,22/07/2024,DB vente carte etrangere  241720 FT24204NC576\BNK  CONTABO.COM,64932.25,,41716.04
31/07/2024,01/08/2024,TVA 1079646.FRAIS.TENUE.COMPTE.MGA10 000.20240731,2000.0,,39716.04
31/07/2024,01/08/2024,Frais Tenue de compte 1079646.FRAIS.TENUE.COMPTE.MGA10 000.20240731,10000.0,,29716.04
