Date,Date de valeur,Description,Débit,Crédit,Solde
10/06/2024,10/06/2024,Transfer Wallet to Bank Mvola Wallet to FT24162Y217R\BNK,270000.0,,261079.71
10/06/2024,07/06/2024,Frais de virement FT24162M67XW\BNK,5000.0,,256079.71
10/06/2024,07/06/2024,TVA FT24162M67XW\BNK,1000.0,,255079.71
10/06/2024,07/06/2024,Prelevement automatic -DR DD INTERMEDIATARY FT24162M67XW\BNK   TELMA S.A F2406686500,,249000.0,6079.71
10/06/2024,07/06/2024,TVA FT24162BB28N\BNK,2400.0,,3679.71
20/06/2024,20/06/2024,Virement recus Banque Confrere  RIAKE FT24172SRZV0\BNK   Reste MERISTHEME,,540000.0,531679.71
21/06/2024,21/06/2024,Retrait sur GAB confrere  641990 FT24173J8RF4\BNK  MAHAZO,50000.0,,481679.71
24/06/2024,24/06/2024,DB vente carte etrangere  241570 FT24176BRMM6\BNK  CONTABO.COM,64286.26,,417393.45
24/06/2024,24/06/2024,Virement recus Banque Confrere  RIAKE FT24176FTSBF\BNK   Reste Meristheme,,100000.0,517393.45
28/06/2024,01/07/2024,TVA 1079646.FRAIS.TENUE.COMPTE.MGA10 000.20240630,2000.0,,515393.45
28/06/2024,01/07/2024,Frais Tenue de compte 1079646.FRAIS.TENUE.COMPTE.MGA10 000.20240630,10000.0,,505393.45
