Date,Date de valeur,Description,Débit,Crédit,Solde
03/11/2023,03/11/2023,Virement recus Banque Confrere BUSINESS PERFORMANCE OFFICE FT23307PP92Y\BNK   Facture Octobre 2023,,2926000.0,2925158.67
06/11/2023,06/11/2023,DB vente carte confrere  327000 FT23310FDLRN\BNK  STATION JOVENA TATSINAN,50000.0,,2875158.67
06/11/2023,06/11/2023,Retrait sur GAB confrere  569660 FT23310JG5RM\BNK  SGMADA Agence MAHAZO,200000.0,,2675158.67
06/11/2023,06/11/2023,DB vente carte etrangere  671910 FT23310GW2TT\BNK  SPOTIFY AB,13836.74,,2661321.93
06/11/2023,06/11/2023,Retrait sur GAB confrere  607840 FT23310L25CH\BNK  BOAMGXB-GAB-02- SABOTSY,100000.0,,2561321.93
06/11/2023,06/11/2023,DB vente carte etrangere  777630 FT23310ZV5PS\BNK  FIGMA,69415.12,,2491906.81
06/11/2023,06/11/2023,Retrait sur GAB confrere  208010 FT23310WGMDX\BNK  SGMADA Mahazo,260000.0,,2231906.81
06/11/2023,06/11/2023,Retrait sur GAB confrere  342510 FT23310563C7\BNK  SGMADA Mahazo,300000.0,,1931906.81
06/11/2023,06/11/2023,Retrait sur GAB confrere  601310 FT23310S1P74\BNK  SGMADA Agence MAHAZO,250000.0,,1681906.81
06/11/2023,06/11/2023,Retrait sur GAB confrere  606990 FT23310JZJNS\BNK  SGMADA Agence MAHAZO,500000.0,,1181906.81
09/11/2023,09/11/2023,Retrait sur GAB confrere  257640 FT233139XGQV\BNK  SGMADA Agence MAHAZO,100000.0,,1081906.81
09/11/2023,09/11/2023,Retrait sur GAB confrere  258260 FT233139M4ZS\BNK  SGMADA Agence MAHAZO,50000.0,,1031906.81
13/11/2023,13/11/2023,Retrait sur GAB confrere  439480 FT23317DVNJV\BNK  SGMADA Ampefiloha 1,50000.0,,981906.81
13/11/2023,13/11/2023,DB vente carte confrere  486400 FT23317FF3M5\BNK  STATION JOVENA AMBOHIMA,50000.0,,931906.81
13/11/2023,13/11/2023,Retrait sur GAB confrere  540770 FT233173Q0Q8\BNK  BNI CMT AMBOHIMANGAKELY,50000.0,,881906.81
14/11/2023,13/11/2023,Frais de virement FT2331861HZQ\BNK,2000.0,,879906.81
14/11/2023,13/11/2023,TVA FT2331861HZQ\BNK,400.0,,879506.81
14/11/2023,13/11/2023,Prelevement automatic -DR DD INTERMEDIATARY FT2331861HZQ\BNK   TELMA S.A F2311159385,,249000.0,630506.81
14/11/2023,14/11/2023,Retrait sur GAB confrere  424750 FT233183WHXB\BNK  SGMADA Agence MAHAZO,300000.0,,330506.81
14/11/2023,14/11/2023,Retrait sur GAB confrere  636910 FT23318XBTCP\BNK  SGMADA Agence MAHAZO,50000.0,,280506.81
17/11/2023,17/11/2023,Retrait sur GAB confrere  469510 FT23321KYLHH\BNK  BNI BNIANALAMAHITSY,50000.0,,230506.81
20/11/2023,20/11/2023,Retrait sur GAB confrere  425610 FT23324GJP6Y\BNK  SGMADA Bankin tsika,150000.0,,80506.81
21/11/2023,21/11/2023,Retrait sur GAB confrere  700090 FT233252QD04\BNK  SGMADA Mahazo,30000.0,,50506.81
24/11/2023,24/11/2023,Retrait sur GAB confrere  634760 FT23328KW520\BNK  SGMADA Agence MAHAZO,30000.0,,20506.81
30/11/2023,01/12/2023,TVA 1079646.FRAIS.TENUE.COMPTE.MGA10 000.20231130,2000.0,,18506.81
30/11/2023,01/12/2023,Frais Tenue de compte 1079646.FRAIS.TENUE.COMPTE.MGA10 000.20231130,10000.0,,8506.81
